X,Y,Z
-1.4806865,0.16624245,-0.6470263
-1.4780153,0.16587673,-0.65102875
-1.4753329,0.16553618,-0.6550568
-1.47266,0.16518334,-0.6591427
-1.4700192,0.16476978,-0.66326106
-1.4673678,0.16429274,-0.6671401
-1.4647903,0.16379184,-0.67118376
-1.4621707,0.16329353,-0.6752429
-1.4593991,0.16280748,-0.67927897
-1.4564028,0.16231972,-0.6832852
-1.4531746,0.16187236,-0.68724835
-1.4497364,0.161553,-0.6910703
-1.4463177,0.1611718,-0.694979
-1.4429095,0.16078256,-0.69881994
-1.4394025,0.16040021,-0.70248073
-1.4356998,0.16002908,-0.7059275
-1.4318378,0.15971805,-0.7091195
-1.4279658,0.15952455,-0.7119721
-1.4240291,0.15935466,-0.7149194
-1.4200449,0.15917467,-0.71789795
-1.4159535,0.15894507,-0.7209014
-1.4117248,0.15866648,-0.72387564
-1.4072895,0.15832146,-0.72682554
-1.4025408,0.15786533,-0.7297883
-1.3979553,0.15756018,-0.7322731
-1.3933649,0.15729907,-0.73449636
-1.3887253,0.15703568,-0.7365948
-1.3840269,0.15674904,-0.7386338
-1.379309,0.15642211,-0.74066454
-1.374677,0.15608433,-0.7426184
-1.3701248,0.15578377,-0.74421364
-1.3656147,0.15550964,-0.7455908
-1.3610874,0.15521654,-0.7469107
-1.3565125,0.15488385,-0.748258
-1.3518363,0.15444742,-0.749523
-1.3470747,0.15392217,-0.7505823
-1.3423939,0.15349956,-0.7516215
-1.33778,0.15311745,-0.75260735
-1.3332427,0.15272889,-0.7535592
-1.328839,0.15232095,-0.7544802
-1.3245033,0.1519513,-0.7551414
-1.3202183,0.15165944,-0.75549954
-1.316145,0.15137741,-0.755911
-1.3121716,0.1511315,-0.7563016
-1.3082851,0.15092705,-0.7566483
-1.3045293,0.15077229,-0.75691634
-1.3009065,0.15067084,-0.75709516
-1.2974848,0.150685,-0.7563862
-1.2940352,0.15068226,-0.7561658
-1.2906196,0.15071347,-0.756057
-1.2872627,0.15080065,-0.7559362
-1.2839259,0.15088615,-0.7552947
-1.2806329,0.15111041,-0.75486344
-1.2773772,0.15141298,-0.7544375
-1.2742047,0.15176648,-0.75391835
-1.2711021,0.15214655,-0.75331587
-1.267977,0.15253268,-0.7526335
-1.264745,0.15290253,-0.75183254
-1.2613866,0.15328258,-0.75082916
-1.2582486,0.15366162,-0.749331
-1.2549236,0.15417907,-0.74762064
